Power Ranchers Modular Curing Oven
Time:,TempTarg:,TH01:,TH02:,TH03:,TH04:,TH05:,TH06:,TH07:,TH08:,TH09:,CTRL:
260.00,20.00,23.33,23.33,23.06,19.29,20.56,18.21,22.78,22.50,22.22,0
261.00,20.03,23.33,23.33,22.78,19.29,20.56,18.21,22.78,22.50,21.94,0
262.00,20.05,23.33,23.06,22.78,19.29,20.56,18.21,22.78,22.50,22.22,0
263.00,20.08,23.33,23.06,23.06,19.29,20.56,18.21,22.78,22.50,22.22,0
264.00,20.10,23.33,22.78,22.78,19.29,20.56,18.21,22.78,22.78,22.22,0
265.00,20.13,23.33,22.50,23.06,19.29,20.56,18.21,22.78,22.50,22.22,0
266.00,20.16,23.33,22.50,23.06,19.29,20.56,18.21,22.78,22.50,22.22,0
267.00,20.18,23.06,22.50,23.06,19.29,20.56,18.21,22.78,22.50,22.22,0
268.00,20.21,23.06,22.22,23.06,19.64,20.56,18.21,22.78,22.78,22.22,0
269.00,20.24,23.06,22.50,23.06,19.64,20.56,18.21,22.78,22.50,22.22,0
270.00,20.26,23.06,21.94,23.06,19.29,20.56,17.86,22.78,22.50,22.22,0
271.00,20.29,23.06,21.94,23.06,19.64,20.56,18.21,22.78,22.50,22.22,0
272.00,20.31,22.78,21.94,22.78,19.64,20.56,18.21,22.50,22.50,22.22,0
273.00,20.34,22.78,21.94,22.78,19.64,20.56,18.21,22.78,22.50,22.22,0
274.00,20.37,22.50,21.67,22.78,19.64,20.56,18.57,22.78,22.22,22.22,0
275.00,20.39,22.78,21.67,22.78,19.64,20.56,18.57,22.78,22.50,21.94,0
276.00,20.42,22.78,21.39,22.78,19.64,20.56,18.21,22.78,22.50,22.22,0
277.00,20.44,22.50,21.39,22.78,19.64,20.56,18.57,22.78,22.50,22.22,0
278.00,20.47,22.50,21.67,22.78,19.64,20.56,18.57,23.06,22.50,22.22,0
279.00,20.50,22.50,21.39,22.78,19.64,20.28,18.57,22.78,22.50,22.22,0
280.00,20.52,22.50,21.39,22.78,19.64,20.56,18.57,22.78,22.50,22.22,0
281.00,20.55,22.50,21.39,22.78,19.64,20.56,18.57,22.78,22.50,22.22,0
282.00,20.58,22.50,21.39,22.78,19.64,20.56,18.57,22.78,22.22,22.22,0
283.00,20.60,22.50,21.11,22.78,19.64,20.56,18.57,22.78,22.50,22.22,0
284.00,20.63,22.50,21.11,22.78,19.64,20.56,18.57,22.78,22.22,22.22,0
285.00,20.65,22.22,21.11,22.78,19.29,20.56,18.57,22.78,22.50,22.22,0
286.00,20.68,22.22,21.11,22.50,19.64,20.56,18.57,22.78,22.50,22.22,0
287.00,20.71,22.22,21.11,22.50,19.64,20.56,18.57,22.50,22.50,21.94,0
288.00,20.73,22.22,21.11,22.50,19.29,20.56,18.57,22.78,22.22,22.22,0
289.00,20.76,22.22,21.11,22.50,19.64,20.56,18.57,22.78,22.50,22.22,0
290.00,20.78,22.22,21.11,22.50,19.64,20.56,18.57,22.78,22.50,22.22,0
291.00,20.81,22.22,21.11,22.50,19.64,20.56,18.57,22.50,22.22,22.22,0
292.00,20.84,22.50,21.11,22.50,19.64,20.56,18.57,22.50,22.22,22.22,0
293.00,20.86,22.22,21.11,22.50,19.64,20.56,18.57,22.50,22.22,22.22,0
294.00,20.89,22.22,21.11,22.50,19.29,20.56,18.57,22.50,22.22,21.94,0
295.00,20.91,22.22,21.11,22.50,19.64,20.56,18.57,22.50,22.22,21.94,0
296.00,20.94,22.22,21.11,22.50,19.64,20.56,18.57,22.50,22.22,22.22,0
297.00,20.97,22.22,21.11,22.50,19.64,20.56,18.57,22.50,22.22,22.22,0
298.00,20.99,22.22,21.11,22.50,19.64,20.56,18.57,22.50,22.22,22.22,0
299.00,21.02,21.94,21.11,22.50,19.64,20.56,18.57,22.50,22.22,22.22,0
300.00,21.05,21.94,21.11,22.50,19.64,20.56,18.57,22.50,22.22,22.22,0
301.00,21.07,21.67,21.11,22.50,19.64,20.56,18.57,22.50,22.22,21.94,0
302.00,21.10,21.94,21.11,22.50,19.64,20.56,18.57,22.50,22.22,22.22,0
303.00,21.12,21.94,21.11,22.50,19.64,20.56,18.57,22.50,22.22,22.22,0
304.00,21.15,21.94,21.11,22.50,19.64,20.56,18.57,22.50,22.22,22.22,0
305.00,21.18,21.94,20.83,22.50,19.64,20.56,18.57,22.50,22.22,22.22,0
306.00,21.20,21.94,21.11,22.22,19.64,20.56,18.57,22.22,22.22,22.50,0
307.00,21.23,21.94,21.11,22.22,19.64,20.28,18.57,22.50,22.22,22.22,0
308.00,21.25,21.94,21.11,22.50,19.64,20.56,18.57,22.22,22.22,22.22,0
309.00,21.28,21.94,21.11,22.22,19.64,20.83,18.57,22.50,22.22,22.22,0
310.00,21.31,21.94,21.11,22.22,19.64,20.56,18.57,22.50,22.22,22.22,0
311.00,21.33,21.94,21.11,22.22,19.64,20.56,18.93,22.22,22.22,22.22,0
312.00,21.36,21.94,21.11,22.22,19.64,20.56,18.57,22.22,22.22,21.94,0
313.00,21.39,21.94,21.11,22.22,19.64,20.28,18.57,21.94,22.22,22.22,0
